CarrierName,Date,ProportionalCancellations
American Eagle Airlines Inc.,07/17/01,0.0492713393477
American Eagle Airlines Inc.,07/18/01,0.060773480663
American Eagle Airlines Inc.,07/19/01,0.0394190871369
American Eagle Airlines Inc.,07/20/01,0.0359364201797
American Eagle Airlines Inc.,07/21/01,0.0314516129032
American Eagle Airlines Inc.,07/22/01,0.0771449170872
American Eagle Airlines Inc.,07/23/01,0.107958477509
American Eagle Airlines Inc.,07/24/01,0.0339335180055
American Eagle Airlines Inc.,07/25/01,0.0573600552868
American Eagle Airlines Inc.,07/26/01,0.0593922651934
American Eagle Airlines Inc.,07/27/01,0.0200414651002
American Eagle Airlines Inc.,07/28/01,0.0169082125604
American Eagle Airlines Inc.,07/29/01,0.0266762797404
American Eagle Airlines Inc.,07/30/01,0.0200276243094
American Eagle Airlines Inc.,07/31/01,0.0152249134948
American Airlines Inc.,07/01/01,0.0514313440078
American Airlines Inc.,07/02/01,0.0292867264998
American Airlines Inc.,07/03/01,0.0200573065903
American Airlines Inc.,07/04/01,0.0215475024486
American Airlines Inc.,07/05/01,0.0171591992374
American Airlines Inc.,07/06/01,0.0285446888161
American Airlines Inc.,07/08/01,0.0106177606178
American Airlines Inc.,07/09/01,0.0154566744731
American Airlines Inc.,07/10/01,0.0281162136832
American Airlines Inc.,07/11/01,0.0286116322702
American Airlines Inc.,07/12/01,0.0201310861423
American Airlines Inc.,07/13/01,0.0243217960711
American Airlines Inc.,07/15/01,0.0101400289715
American Airlines Inc.,07/16/01,0.0182584269663
American Airlines Inc.,07/17/01,0.0379213483146
American Airlines Inc.,07/18/01,0.0234301780694
American Airlines Inc.,07/19/01,0.0182584269663
American Airlines Inc.,07/20/01,0.0201310861423
American Airlines Inc.,07/22/01,0.0251207729469
American Airlines Inc.,07/23/01,0.0647279549719
American Airlines Inc.,07/24/01,0.0416861826698
American Airlines Inc.,07/25/01,0.0346766635426
American Airlines Inc.,07/26/01,0.0285446888161
American Airlines Inc.,07/27/01,0.0126463700234
American Airlines Inc.,07/29/01,0.00917431192661
American Airlines Inc.,07/30/01,0.058106841612
American Airlines Inc.,07/31/01,0.023932426091
American Airlines Inc.,07/07/01,0.0187469166256
American Airlines Inc.,07/14/01,0.0142998027613
American Airlines Inc.,07/21/01,0.0320829220138
American Airlines Inc.,07/28/01,0.0152935372472
Continental Air Lines Inc.,07/01/01,0.0486593843098
Continental Air Lines Inc.,07/02/01,0.00735294117647
Continental Air Lines Inc.,07/03/01,0.00326441784548
Continental Air Lines Inc.,07/04/01,0.00111982082867
Continental Air Lines Inc.,07/05/01,0.0068359375
Continental Air Lines Inc.,07/06/01,0.00555555555556
Continental Air Lines Inc.,07/07/01,0.0
Continental Air Lines Inc.,07/08/01,0.00660377358491
Continental Air Lines Inc.,07/09/01,0.0102827763496
Continental Air Lines Inc.,07/10/01,0.0335051546392
Continental Air Lines Inc.,07/11/01,0.0146551724138
Continental Air Lines Inc.,07/12/01,0.00937766410912
Continental Air Lines Inc.,07/13/01,0.00764006791171
Continental Air Lines Inc.,07/14/01,0.0113765642776
